"Race, ethnicity",Cases,Hospitalizations,Deaths
White,141,30,2
Hispanic,13,0,0
Non-Hispanic,124,29,2
Unknown ethnicity,4,1,0
Black,124,37,5
Hispanic,1,0,0
Non-Hispanic,120,36,5
Unknown ethnicity,3,1,0
Other,25,1,0
Hispanic,13,1,0
Non-Hispanic,11,0,0
Unknown ethnicity,1,0,0
Unknown race,53,6,0
Hispanic,4,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,49,6,0
Total,343,74,7
"Race, ethnicity",Cases,Hospitalizations,
White,20,7,3
Hispanic,0,0,0
Non-Hispanic,20,7,3
Unknown ethnicity,0,0,0
Black,6,1,0
Hispanic,0,0,0
Non-Hispanic,5,1,0
Unknown ethnicity,1,0,0
Other,1,1,0
Hispanic,0,0,0
Non-Hispanic,1,1,0
Unknown ethnicity,0,0,0
Unknown race,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Total,27,9,3
"Race, ethnicity",Cases,Hospitalizations,
White,73,8,3
Hispanic,21,1,0
Non-Hispanic,50,7,3
Unknown ethnicity,2,0,0
Black,10,3,0
Hispanic,0,0,0
Non-Hispanic,10,3,0
Unknown ethnicity,0,0,0
Other,6,2,0
Hispanic,4,1,0
Non-Hispanic,1,1,0
Unknown ethnicity,1,0,0
Unknown race,4,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,4,0,0
Total,93,13,3
"Race, ethnicity",Cases,Hospitalizations,
White,45,9,2
Hispanic,0,0,0
Non-Hispanic,45,9,2
Unknown ethnicity,0,0,0
Black,5,1,0
Hispanic,0,0,0
Non-Hispanic,5,1,0
Unknown ethnicity,0,0,0
Other,1,1,0
Hispanic,0,0,0
Non-Hispanic,1,1,0
Unknown ethnicity,0,0,0
Unknown race,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Total,51,11,2
"Race, ethnicity",Cases,Hospitalizations,
White,281,38,8
Hispanic,48,2,0
Non-Hispanic,231,35,8
Unknown ethnicity,2,1,0
Black,56,10,3
Hispanic,5,1,0
Non-Hispanic,50,8,2
Unknown ethnicity,1,1,1
Other,19,7,0
Hispanic,7,3,0
Non-Hispanic,11,4,0
Unknown ethnicity,1,0,0
Unknown race,27,1,0
Hispanic,1,1,0
Non-Hispanic,2,0,0
Unknown ethnicity,24,0,0
Total,383,56,11
"Race, ethnicity",Cases,Hospitalizations,
White,"3,297",614,155
Hispanic,"1,677",219,22
Non-Hispanic,"1,610",395,133
Unknown ethnicity,10,0,0
Black,"2,420",654,107
Hispanic,152,42,2
Non-Hispanic,"2,261",612,105
Unknown ethnicity,7,0,0
Other,636,130,29
Hispanic,335,57,8
Non-Hispanic,295,73,21
Unknown ethnicity,6,0,0
Unknown race,180,9,1
Hispanic,20,2,0
Non-Hispanic,17,3,0
Unknown ethnicity,143,4,1
Total,"6,533","1,407",292
"Race, ethnicity",Cases,Hospitalizations,
White,34,3,3
Hispanic,0,0,0
Non-Hispanic,30,3,3
Unknown ethnicity,4,0,0
Black,9,2,0
Hispanic,0,0,0
Non-Hispanic,9,2,0
Unknown ethnicity,0,0,0
Other,1,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,0,0,0
Unknown race,8,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,7,0,0
Total,52,5,3
"Race, ethnicity",Cases,Hospitalizations,
White,339,93,48
Hispanic,14,3,1
Non-Hispanic,318,89,47
Unknown ethnicity,7,1,0
Black,51,12,5
Hispanic,1,0,0
Non-Hispanic,49,12,5
Unknown ethnicity,1,0,0
Other,9,2,0
Hispanic,2,0,0
Non-Hispanic,7,2,0
Unknown ethnicity,0,0,0
Unknown race,23,6,3
Hispanic,0,0,0
Non-Hispanic,1,0,1
Unknown ethnicity,22,6,2
Total,422,113,56
"Race, ethnicity",Cases,Hospitalizations,
White,83,29,12
Hispanic,7,1,0
Non-Hispanic,74,28,12
Unknown ethnicity,2,0,0
Black,1,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,0,0,0
Other,10,0,0
Hispanic,4,0,0
Non-Hispanic,6,0,0
Unknown ethnicity,0,0,0
Unknown race,25,3,0
Hispanic,3,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,22,3,0
Total,119,32,12
"Race, ethnicity",Cases,Hospitalizations,
White,217,57,18
Hispanic,15,6,2
Non-Hispanic,195,50,15
Unknown ethnicity,7,1,1
Black,71,22,6
Hispanic,3,1,0
Non-Hispanic,62,21,6
Unknown ethnicity,6,0,0
Other,20,5,2
Hispanic,4,1,0
Non-Hispanic,16,4,2
Unknown ethnicity,0,0,0
Unknown race,47,3,1
Hispanic,0,0,0
Non-Hispanic,2,0,0
Unknown ethnicity,45,3,1
Total,355,87,27
"Race, ethnicity",Cases,Hospitalizations,
White,808,127,35
Hispanic,448,42,6
Non-Hispanic,325,85,28
Unknown ethnicity,35,0,1
Black,79,17,3
Hispanic,3,1,0
Non-Hispanic,74,16,3
Unknown ethnicity,2,0,0
Other,105,12,2
Hispanic,87,10,1
Non-Hispanic,13,2,0
Unknown ethnicity,5,0,1
Unknown race,185,14,5
Hispanic,23,2,0
Non-Hispanic,7,0,0
Unknown ethnicity,155,12,5
Total,"1,177",170,45
"Race, ethnicity",Cases,Hospitalizations,
White,66,6,1
Hispanic,6,1,0
Non-Hispanic,58,5,1
Unknown ethnicity,2,0,0
Black,55,4,0
Hispanic,0,0,0
Non-Hispanic,54,4,0
Unknown ethnicity,1,0,0
Other,4,1,1
Hispanic,3,1,1
Non-Hispanic,1,0,0
Unknown ethnicity,0,0,0
Unknown race,4,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,4,0,0
Total,129,11,2
"Race, ethnicity",Cases,Hospitalizations,
White,"9,147","1,787",408
Hispanic,"7,592","1,488",304
Non-Hispanic,"1,122",246,77
Unknown ethnicity,433,53,27
Black,"2,661",682,169
Hispanic,269,77,12
Non-Hispanic,"2,199",573,148
Unknown ethnicity,193,32,9
Other,784,118,21
Hispanic,427,66,7
Non-Hispanic,214,44,11
Unknown ethnicity,143,8,3
Unknown race,"4,072",134,33
Hispanic,548,39,3
Non-Hispanic,75,13,2
Unknown ethnicity,"3,449",82,28
Total,"16,664","2,721",631
"Race, ethnicity",Cases,Hospitalizations,
White,92,17,5
Hispanic,52,3,0
Non-Hispanic,32,11,4
Unknown ethnicity,8,3,1
Black,4,1,0
Hispanic,0,0,0
Non-Hispanic,3,1,0
Unknown ethnicity,1,0,0
Other,1,0,0
Hispanic,1,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Unknown race,18,4,3
Hispanic,1,1,0
Non-Hispanic,0,0,0
Unknown ethnicity,17,3,3
Total,115,22,8
"Race, ethnicity",Cases,Hospitalizations,
White,27,5,1
Hispanic,0,0,0
Non-Hispanic,27,5,1
Unknown ethnicity,0,0,0
Black,11,1,0
Hispanic,0,0,0
Non-Hispanic,10,1,0
Unknown ethnicity,1,0,0
Other,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Unknown race,3,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,3,0,0
Total,41,6,1
"Race, ethnicity",Cases,Hospitalizations,
White,618,101,20
Hispanic,99,10,0
Non-Hispanic,498,91,20
Unknown ethnicity,21,0,0
Black,521,118,19
Hispanic,2,0,0
Non-Hispanic,502,117,18
Unknown ethnicity,17,1,1
Other,147,22,2
Hispanic,76,7,0
Non-Hispanic,64,14,1
Unknown ethnicity,7,1,1
Unknown race,99,0,0
Hispanic,5,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,93,0,0
Total,"1,385",241,41
"Race, ethnicity",Cases,Hospitalizations,
White,286,28,16
Hispanic,9,1,0
Non-Hispanic,244,27,14
Unknown ethnicity,33,0,2
Black,228,33,8
Hispanic,0,0,0
Non-Hispanic,193,32,6
Unknown ethnicity,35,1,2
Other,17,1,1
Hispanic,2,0,0
Non-Hispanic,13,1,1
Unknown ethnicity,2,0,0
Unknown race,87,2,1
Hispanic,3,0,0
Non-Hispanic,2,0,0
Unknown ethnicity,82,2,1
Total,618,64,26
"Race, ethnicity",Cases,Hospitalizations,
White,104,14,4
Hispanic,15,2,1
Non-Hispanic,89,12,3
Unknown ethnicity,0,0,0
Black,21,3,0
Hispanic,0,0,0
Non-Hispanic,21,3,0
Unknown ethnicity,0,0,0
Other,37,2,0
Hispanic,5,0,0
Non-Hispanic,29,1,0
Unknown ethnicity,3,1,0
Unknown race,10,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,9,0,0
Total,172,19,4
"Race, ethnicity",Cases,Hospitalizations,
White,1,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,0,0,0
Black,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Other,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Unknown race,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Total,1,0,0
"Race, ethnicity",Cases,Hospitalizations,
White,101,10,0
Hispanic,12,0,0
Non-Hispanic,83,9,0
Unknown ethnicity,6,1,0
Black,112,29,1
Hispanic,0,0,0
Non-Hispanic,103,29,1
Unknown ethnicity,9,0,0
Other,9,3,0
Hispanic,7,3,0
Non-Hispanic,2,0,0
Unknown ethnicity,0,0,0
Unknown race,29,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,28,0,0
Total,251,42,1
"Race, ethnicity",Cases,Hospitalizations,
White,8,0,0
Hispanic,0,0,0
Non-Hispanic,8,0,0
Unknown ethnicity,0,0,0
Black,1,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,0,0,0
Other,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Unknown race,2,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,1,0,0
Total,11,0,0
"Race, ethnicity",Cases,Hospitalizations,
White,16,3,1
Hispanic,11,0,0
Non-Hispanic,5,3,1
Unknown ethnicity,0,0,0
Black,4,1,0
Hispanic,0,0,0
Non-Hispanic,3,1,0
Unknown ethnicity,1,0,0
Other,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Unknown race,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Total,20,4,1
"Race, ethnicity",Cases,Hospitalizations,
White,1,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,0,0,0
Black,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Other,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Unknown race,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Total,1,0,0
"Race, ethnicity",Cases,Hospitalizations,
White,95,0,0
Hispanic,7,0,0
Non-Hispanic,28,0,0
Unknown ethnicity,60,0,0
Black,87,0,0
Hispanic,1,0,0
Non-Hispanic,30,0,0
Unknown ethnicity,56,0,0
Other,11,1,0
Hispanic,2,1,0
Non-Hispanic,0,0,0
Unknown ethnicity,9,0,0
Unknown race,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Total,193,1,0
"Race, ethnicity",Cases,Hospitalizations,
White,23,2,0
Hispanic,12,0,0
Non-Hispanic,11,2,0
Unknown ethnicity,0,0,0
Black,32,5,0
Hispanic,0,0,0
Non-Hispanic,31,5,0
Unknown ethnicity,1,0,0
Other,20,3,0
Hispanic,17,1,0
Non-Hispanic,3,2,0
Unknown ethnicity,0,0,0
Unknown race,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Total,75,10,0
"Race, ethnicity",Cases,Hospitalizations,
White,185,24,9
Hispanic,129,12,2
Non-Hispanic,52,12,7
Unknown ethnicity,4,0,0
Black,50,13,3
Hispanic,0,0,0
Non-Hispanic,48,11,3
Unknown ethnicity,2,2,0
Other,10,5,0
Hispanic,7,3,0
Non-Hispanic,3,2,0
Unknown ethnicity,0,0,0
Unknown race,36,1,0
Hispanic,9,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,27,1,0
Total,281,43,12
"Race, ethnicity",Cases,Hospitalizations,
White,87,18,4
Hispanic,22,4,1
Non-Hispanic,64,14,3
Unknown ethnicity,1,0,0
Black,15,3,1
Hispanic,0,0,0
Non-Hispanic,15,3,1
Unknown ethnicity,0,0,0
Other,2,1,0
Hispanic,1,1,0
Non-Hispanic,1,0,0
Unknown ethnicity,0,0,0
Unknown race,1,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,1,0,0
Total,105,22,5
"Race, ethnicity",Cases,Hospitalizations,
White,63,16,2
Hispanic,20,4,0
Non-Hispanic,37,10,2
Unknown ethnicity,6,2,0
Black,26,11,4
Hispanic,1,0,0
Non-Hispanic,24,10,3
Unknown ethnicity,1,1,1
Other,20,8,2
Hispanic,14,6,1
Non-Hispanic,6,2,1
Unknown ethnicity,0,0,0
Unknown race,3,0,0
Hispanic,1,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,2,0,0
Total,112,35,8
"Race, ethnicity",Cases,Hospitalizations,
White,867,207,42
Hispanic,289,51,6
Non-Hispanic,528,144,34
Unknown ethnicity,50,12,2
Black,369,109,18
Hispanic,10,2,0
Non-Hispanic,338,102,18
Unknown ethnicity,21,5,0
Other,364,62,8
Hispanic,192,33,5
Non-Hispanic,134,24,2
Unknown ethnicity,38,5,1
Unknown race,224,6,4
Hispanic,13,0,0
Non-Hispanic,7,0,0
Unknown ethnicity,204,6,4
Total,"1,824",384,72
"Race, ethnicity",Cases,Hospitalizations,
White,9,0,0
Hispanic,0,0,0
Non-Hispanic,9,0,0
Unknown ethnicity,0,0,0
Black,3,1,0
Hispanic,0,0,0
Non-Hispanic,3,1,0
Unknown ethnicity,0,0,0
Other,1,0,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,0,0,0
Unknown race,1,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,1,0,0
Total,14,1,0
"Race, ethnicity",Cases,Hospitalizations,
White,71,18,7
Hispanic,4,0,0
Non-Hispanic,61,17,7
Unknown ethnicity,6,1,0
Black,9,4,2
Hispanic,0,0,0
Non-Hispanic,9,4,2
Unknown ethnicity,0,0,0
Other,16,6,0
Hispanic,4,1,0
Non-Hispanic,7,3,0
Unknown ethnicity,5,2,0
Unknown race,9,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,9,0,0
Total,105,28,9
"Race, ethnicity",Cases,Hospitalizations,
White,99,5,0
Hispanic,10,0,0
Non-Hispanic,44,3,0
Unknown ethnicity,45,2,0
Black,81,6,0
Hispanic,0,0,0
Non-Hispanic,65,5,0
Unknown ethnicity,16,1,0
Other,8,1,0
Hispanic,5,1,0
Non-Hispanic,1,0,0
Unknown ethnicity,2,0,0
Unknown race,37,0,0
Hispanic,1,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,36,0,0
Total,225,12,0
"Race, ethnicity",Cases,Hospitalizations,
White,11,4,2
Hispanic,0,0,0
Non-Hispanic,10,4,1
Unknown ethnicity,1,0,1
Black,12,3,1
Hispanic,0,0,0
Non-Hispanic,12,3,1
Unknown ethnicity,0,0,0
Other,4,0,0
Hispanic,3,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,0,0,0
Unknown race,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Total,27,7,3
"Race, ethnicity",Cases,Hospitalizations,
White,8,1,0
Hispanic,2,0,0
Non-Hispanic,6,1,0
Unknown ethnicity,0,0,0
Black,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Other,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Unknown race,0,0,0
Hispanic,0,0,0
Non-Hispanic,0,0,0
Unknown ethnicity,0,0,0
Total,8,1,0
"Race, ethnicity",Cases,Hospitalizations,
White,135,38,10
Hispanic,21,4,2
Non-Hispanic,112,33,8
Unknown ethnicity,2,1,0
Black,37,7,0
Hispanic,1,0,0
Non-Hispanic,36,7,0
Unknown ethnicity,0,0,0
Other,74,22,5
Hispanic,51,13,3
Non-Hispanic,21,8,2
Unknown ethnicity,2,1,0
Unknown race,14,2,0
Hispanic,0,0,0
Non-Hispanic,1,0,0
Unknown ethnicity,13,2,0
Total,260,69,15
"Race, ethnicity",Cases,Hospitalizations,
White,"1,051",286,77
Hispanic,352,69,5
Non-Hispanic,661,215,65
Unknown ethnicity,38,2,7
Black,280,65,7
Hispanic,5,1,0
Non-Hispanic,264,63,7
